DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,,23:20:30 12-Mar-2015,23:23:30 12-Mar-2015,Surface,,,,,179,181,110,70
146295,146295,0.500000,Transmission,Mk10,,23:23:30 12-Mar-2015,00:08:00 13-Mar-2015,Dive,1,Square,37.5,38.0,2669,2671,,
146295,146295,0.500000,Transmission,Mk10,,00:08:00 13-Mar-2015,00:10:30 13-Mar-2015,Surface,,,,,149,151,111,39
146295,146295,0.500000,Transmission,Mk10,,00:09:00 13-Mar-2015,08:19:10 13-Mar-2015,Message,9,,,,29401.000000,29419.000000,,
146295,146295,0.500000,Transmission,Mk10,,00:09:00 13-Mar-2015,01:42:40 13-Mar-2015,Dive,1,Square,37.5,38.0,5619,5621,,
146295,146295,0.500000,Transmission,Mk10,,01:42:40 13-Mar-2015,01:45:40 13-Mar-2015,Surface,,,,,179,181,145,35
146295,146295,0.500000,Transmission,Mk10,,01:45:40 13-Mar-2015,03:21:30 13-Mar-2015,Dive,1,Square,36.5,37.0,5749,5751,,
146295,146295,0.500000,Transmission,Mk10,,03:21:30 13-Mar-2015,03:24:10 13-Mar-2015,Surface,,,,,159,161,124,36
146295,146295,0.500000,Transmission,Mk10,,03:24:10 13-Mar-2015,04:59:30 13-Mar-2015,Dive,1,Square,36.5,37.0,5719,5721,,
146295,146295,0.500000,Transmission,Mk10,,04:59:30 13-Mar-2015,05:02:20 13-Mar-2015,Surface,,,,,169,171,132,38
146295,146295,0.500000,Transmission,Mk10,,05:02:20 13-Mar-2015,06:38:10 13-Mar-2015,Dive,1,Square,35.5,36.0,5749,5751,,
146295,146295,0.500000,Transmission,Mk10,,06:38:10 13-Mar-2015,06:41:10 13-Mar-2015,Surface,,,,,179,181,145,35
146295,146295,0.500000,Transmission,Mk10,,06:41:10 13-Mar-2015,08:19:10 13-Mar-2015,Dive,1,Square,36.5,37.0,5879,5881,,
146295,146295,0.500000,Transmission,Mk10,,08:21:00 13-Mar-2015,14:45:40 13-Mar-2015,Message,9,,,,23071.000000,23089.000000,,
146295,146295,0.500000,Transmission,Mk10,,08:21:00 13-Mar-2015,08:24:50 13-Mar-2015,Surface,,,,,229,231,126,104
146295,146295,0.500000,Transmission,Mk10,,08:24:50 13-Mar-2015,09:54:20 13-Mar-2015,Dive,1,Square,36.5,37.0,5369,5371,,
146295,146295,0.500000,Transmission,Mk10,,09:54:20 13-Mar-2015,09:58:10 13-Mar-2015,Surface,,,,,229,231,141,89
146295,146295,0.500000,Transmission,Mk10,,09:58:10 13-Mar-2015,11:28:50 13-Mar-2015,Dive,1,Square,37.5,38.0,5439,5441,,
146295,146295,0.500000,Transmission,Mk10,,11:28:50 13-Mar-2015,11:32:30 13-Mar-2015,Surface,,,,,219,221,163,57
